driverId,lat,lng,time
180,35.716124,51.439540,2020-10-20 12:54:11.744405
154,35.674238,51.324752,2020-10-20 12:54:11.744463
118,35.660226,51.317367,2020-10-20 12:54:11.744483
194,35.725052,51.463792,2020-10-20 12:54:11.744498
132,35.758336,51.448136,2020-10-20 12:54:11.744514
106,35.746166,51.340506,2020-10-20 12:54:11.744528
113,35.721141,51.390772,2020-10-20 12:54:11.744543
172,35.671891,51.458438,2020-10-20 12:54:11.744557
172,35.728834,51.375421,2020-10-20 12:54:11.744572
129,35.660456,51.437722,2020-10-20 12:54:11.744586
151,35.692931,51.373527,2020-10-20 12:54:11.744601
118,35.750737,51.324716,2020-10-20 12:54:11.744615
175,35.673096,51.439492,2020-10-20 12:54:11.744630
134,35.746227,51.317519,2020-10-20 12:54:11.744644
108,35.692949,51.321237,2020-10-20 12:54:11.744658
189,35.703260,51.446046,2020-10-20 12:54:11.744672
151,35.704248,51.428524,2020-10-20 12:54:11.744686
138,35.757767,51.402454,2020-10-20 12:54:11.744700
132,35.723400,51.328289,2020-10-20 12:54:11.744726
167,35.733942,51.359954,2020-10-20 12:54:11.744741
160,35.750904,51.369433,2020-10-20 12:54:11.744756
170,35.692231,51.313135,2020-10-20 12:54:11.744770
192,35.717203,51.461995,2020-10-20 12:54:11.744784
145,35.748453,51.381757,2020-10-20 12:54:11.744798
189,35.666319,51.405419,2020-10-20 12:54:11.744813
141,35.690650,51.453718,2020-10-20 12:54:11.744827
154,35.720355,51.420700,2020-10-20 12:54:11.744841
153,35.747492,51.397294,2020-10-20 12:54:11.744856
101,35.683886,51.335173,2020-10-20 12:54:11.744870
111,35.663284,51.371803,2020-10-20 12:54:11.744884
192,35.720178,51.383836,2020-10-20 12:54:11.744898
141,35.662539,51.384642,2020-10-20 12:54:11.744912
185,35.746634,51.422043,2020-10-20 12:54:11.744926
115,35.693845,51.449950,2020-10-20 12:54:11.744940
153,35.722212,51.397867,2020-10-20 12:54:11.744955
147,35.694666,51.419492,2020-10-20 12:54:11.744971
108,35.736876,51.303653,2020-10-20 12:54:11.744985
137,35.700393,51.410220,2020-10-20 12:54:11.744999
174,35.746080,51.343437,2020-10-20 12:54:11.745013
174,35.729135,51.337778,2020-10-20 12:54:11.745028
194,35.729479,51.348387,2020-10-20 12:54:11.745045
173,35.683482,51.377079,2020-10-20 12:54:11.745059
130,35.708816,51.406869,2020-10-20 12:54:11.745073
146,35.725524,51.312429,2020-10-20 12:54:11.745088
162,35.752709,51.461303,2020-10-20 12:54:11.745102
115,35.677338,51.361138,2020-10-20 12:54:11.745116
131,35.709087,51.380802,2020-10-20 12:54:11.745130
199,35.746299,51.332575,2020-10-20 12:54:11.745144
162,35.732343,51.342213,2020-10-20 12:54:11.745159
164,35.753972,51.471448,2020-10-20 12:54:11.745187
118,35.713966,51.436133,2020-10-20 12:54:11.745199
145,35.725920,51.446755,2020-10-20 12:54:11.745210
113,35.732180,51.419552,2020-10-20 12:54:11.745222
